route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
B0001,A003,1, ท่าเตียน - ถนนตก,,3,,FFFFFF,000000
B0002,A003,101, พุทธมณฑลสาย2 - โพธิ์ทอง,,3,,FFFFFF,000000
B0003,A003,102, ปากน้ำ - อู่สาธุประดิษฐ์,,3,,FFFFFF,000000
B0004,A003,104ร, ปากเกร็ด - สถานีขนส่งผู้โดยสารสายเหนือ,,3,,FFFFFF,000000
B0005,A003,105, มหาชัยเมืองใหม่ - คลองสาน,,3,,FFFFFF,000000
B0006,A003,107, อู่บางเขน -  อู่คลองเตย,,3,,FFFFFF,000000
B0007,A003,109ร, คลองกุ่ม - หัวลำโพง,,3,,FFFFFF,000000
B0008,A003,11, ประเวศร์  -  มาบุญครอง,,3,,FFFFFF,000000
B0009,A003,110ร, พระราม 6 - เทเวศน์,,3,,FFFFFF,000000
B0010,A003,111, วงกลมตลาดพลู - บุคคโล,,3,,FFFFFF,000000
B0011,A003,113ร, มหาวิทยาลัยรามคำแหง - สาทร,,3,,FFFFFF,000000
B0012,A003,114, ตลาดอตก.3 - แยกลำลูกกา,,3,,FFFFFF,000000
B0013,A003,115ร, สีลม - ถนนนิมิตรใหม่,,3,,FFFFFF,000000
B0014,A003,116ร, หนามแดง - สาทร,,3,,FFFFFF,000000
B0015,A003,117, ท่าน้ำนนทบุรี - กทม.2,,3,,FFFFFF,000000
B0016,A003,12, ห้วยขวาง - ปากคลองตลาด,,3,,FFFFFF,000000
B0017,A003,120ร, คลองสาน - สมุทรสาคร,,3,,FFFFFF,000000
B0018,A003,122ร, ห้วยขวาง - สถานีขนส่งผู้โดยสารกรุงเทพ(จตุจักร),,3,,FFFFFF,000000
B0019,A003,123ร, ท่าราชวรดิษฐ์ - อ้อมใหญ่,,3,,FFFFFF,000000
B0020,A003,125ร, อนุเสาวรีย์ชัยสมรภูมิ - โรงเรียนรัตน์โกสินทร์สมโภชบวรนิเวศ ศาลายา,,3,,FFFFFF,000000
B0021,A003,126ร, บางเขน - มหาวิทยาลัยรามคำแหง,,3,,FFFFFF,000000
B0022,A003,127ร, เชิงสะพานอรุณอัมรินทร์ - โรงเรียนวรราชาทินัดดามาตุวิทยา,,3,,FFFFFF,000000
B0023,A003,129,  อู่บางเขน - สำโรง,,3,,FFFFFF,000000
B0024,A003,13, คลองเตย - ห้วยขวาง,,3,,FFFFFF,000000
B0025,A003,131, อู่คลองกุ่ม - หนองจอก,,3,,FFFFFF,000000
B0026,A003,132ร, พระโขนง (บริเวณสถานีรถไฟฟ้าอ่อนนุช) - การเคหะแห่งชาติโครงการวาระที่ 2 (บางพลี),,3,,FFFFFF,000000
B0027,A003,133ร, วัดธาตุทอง - การเคหะแห่งชาติโครงการวาระที่ 2(บางพลี),,3,,FFFFFF,000000
B0028,A003,134, อำเภอบางบัวทอง - ย่านสินค้าพหลโยธิน,,3,,FFFFFF,000000
B0029,A003,136, คลองเตย - หมอชิต 2,,3,,FFFFFF,000000
B0030,A003,137, วงกลมรามคำแหง - ถนนรัชดาภิเษก,,3,,FFFFFF,000000
B0031,A003,138, พระประแดง - หมอชิตใหม่,,3,,FFFFFF,000000
B0032,A003,138ส, พระประแดง - หมอชิตใหม่,,3,,FFFFFF,000000
B0033,A003,140, แสมดำ - อนุสาวรีย์ชัย,,3,,FFFFFF,000000
B0034,A003,141, แสมดำ - จุฬา,,3,,FFFFFF,000000
B0035,A003,142, ปากน้ำ - เคหะธนบุรี,,3,,FFFFFF,000000
B0036,A003,143, แฮปปี้แลนด์ - สถาบันเทคโนโลยีพระจอมเกล้าฯลาดกระบัง,,3,,FFFFFF,000000
B0037,A003,145, ปากน้ำ - หมอชิตใหม่,,3,,FFFFFF,000000
B0038,A003,146ร, วงกลมบางแค - ถนนกาญจนาภิเษก,,3,,FFFFFF,000000
B0039,A003,147ร, เคหะชุมชนธนบุรี - เคหะชุมชนธนบุรี,,3,,FFFFFF,000000
B0040,A003,149ร, อู่พุทธมณฑล 2 - สถานีขนส่งผู้โดยสารกรุงเทพ (เอกมัย),,3,,FFFFFF,000000
B0041,A003,14ร, ศรีย่าน - โรงเรียนนนทรีวิทยา,,3,,FFFFFF,000000
B0042,A003,15, เดอะมอลล์ท่าพระ - บางลำพู,,3,,FFFFFF,000000
B0043,A003,150ร, ปากเกล็ด - มีนบุรี,,3,,FFFFFF,000000
B0044,A003,151ร, ปากซอยลาดพร้าว 71 - เคหะชุมชนลาดกระบัง,,3,,FFFFFF,000000
B0045,A003,156, สวนสยาม - ตลาดสุคนธสวัสดิ์,,3,,FFFFFF,000000
B0046,A003,157ร, อ้อมใหญ่ - สถานีขนส่งผู้โดยสารกรุงเทพฯ(จตุจักร),,3,,FFFFFF,000000
B0047,A003,16, อู่ศรีณรงค์  - สุรวงศ์,,3,,FFFFFF,000000
B0048,A003,162ร, ท่าเรือคลองเตย - จุฬาลงกรณ์มหาวิทยาลัย,,3,,FFFFFF,000000
B0049,A003,163ร, พระราม 9 - สถานีรถไฟศาลายา,,3,,FFFFFF,000000
B0050,A003,165, พุทธมณฑลสาย2 - บางกอกใหญ่,,3,,FFFFFF,000000
B0051,A003,170ร, อ้อมน้อย - สถานีขนส่งผู้โดยสารกรุงเทพมหานคร (จตุจักร),,3,,FFFFFF,000000
B0052,A003,171ร, อู่บางขุนเทียน - หมู่บ้านนักกีฬา,,3,,FFFFFF,000000
B0053,A003,172ร, หมู่บ้านนักกีฬา - บางขุนเทียน,,3,,FFFFFF,000000
B0054,A003,173ร, บางขุนเทียน - มีนบุรี,,3,,FFFFFF,000000
B0055,A003,175ร, ภาษีเจริญ - อตก 3,,3,,FFFFFF,000000
B0056,A003,177ร, บางบัวทอง - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0057,A003,178, สวนสยาม - สวนสยาม,,3,,FFFFFF,000000
B0058,A003,179, อู่พระราม 9 - อู่พระราม 7,,3,,FFFFFF,000000
B0059,A003,17ร, ท่าข้าม - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0060,A003,18, ตลาดท่าอิฐ - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0061,A003,180, ม.ราม 2 - เซ็นทรัลพระราม 3,,3,,FFFFFF,000000
B0062,A003,183ร, อนุสาวรีย์ชัยสมรภูมิ - อ้อมใหญ่,,3,,FFFFFF,000000
B0063,A003,185, หมู่บ้านรัตนโกสินทร์ 200 ปี - คลองเตย,,3,,FFFFFF,000000
B0064,A003,187, หมู่บ้านเอื้ออาทรคลอง3 - ท่าน้ำสี่พระยา,,3,,FFFFFF,000000
B0065,A003,188, มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี - สถานีขนส่งผู้โดยสารกรุงเทพ(จตุจักร),,3,,FFFFFF,000000
B0066,A003,191, กระทรวงพาณิชย์ใหม่ - คลองจั่น,,3,,FFFFFF,000000
B0067,A003,195, คลองเตย - เดอะมอลล์ท่าพระ,,3,,FFFFFF,000000
B0068,A003,2, สำโรง - ปากคลองตลาด,,3,,FFFFFF,000000
